"","event.no","start","time","end","volume","duration","dbt","qmin","tqmin"
"8",8,1980-02-06,1980-02-10,1980-02-10,3.52792093741695,5,5,-1,1980-02-09
"12",12,1980-02-25,1980-03-04,1980-03-04,3.09642059293965,9,8,-0.884052518614681,1980-03-04
"14",14,1980-03-07,1980-03-12,1980-03-12,3.00559311949092,6,6,-0.932143501311585,1980-03-10
"17",17,1980-03-30,1980-04-03,1980-04-03,7.44922469644797,5,5,-3,1980-03-31
"23",23,1980-04-24,1980-04-29,1980-04-29,5.60362552501097,6,6,-1.48366848231929,1980-04-28
"28",28,1980-05-20,1980-05-29,1980-05-29,6.72924753719658,10,10,-1.30730542584124,1980-05-22
"35",35,1980-07-01,1980-07-07,1980-07-07,5.63582127708938,7,7,-1.65300534781669,1980-07-04
"37",37,1980-07-15,1980-07-19,1980-07-19,3.87212489010858,5,5,-1.66383559233505,1980-07-19
"40",40,1980-08-05,1980-08-12,1980-08-12,3.61240386221444,8,8,-0.713338886075153,1980-08-06
"44",44,1980-08-27,1980-09-05,1980-09-05,6.9693521220165,10,9,-1.5809287784237,1980-09-03
"47",47,1980-09-11,1980-09-19,1980-09-19,3.36919836192243,9,9,-0.713338886075153,1980-09-11
"50",50,1980-09-27,1980-10-04,1980-10-04,4.02679106804946,8,6,-1.32162839803223,1980-09-30
"53",53,1980-10-07,1980-10-18,1980-10-18,9.98112700298313,12,12,-1.94865818939309,1980-10-11
"68",68,1980-12-28,1981-01-03,1981-01-03,5.52215025739998,7,7,-1.13113910421917,1980-12-31
"69",69,1981-01-07,1981-01-11,1981-01-11,2.7406625940091,5,5,-1.02846059473334,1981-01-11
"70",70,1981-01-17,1981-01-21,1981-01-21,2.90760132376773,5,5,-1.16030872154159,1981-01-18
